[conftest] api-key env isolation active (python=3.13.14)
============================= test session starts =============================
platform win32 -- Python 3.13.14, pytest-9.1.1, pluggy-1.6.0 -- AppData\Local\Programs\Python\Python313\python.exe
rootdir: .openclaw\workspace\promethean
configfile: pyproject.toml
plugins: anyio-4.14.0, asyncio-1.4.0, cov-7.1.0
tests/test_v1324_asi_5gap_real_llm.py::TestProbeAndValidate::test_with_no_key PASSED [ 49%]
tests/test_v1324_asi_5gap_real_llm.py::TestProbeAndValidate::test_to_dict PASSED [ 50%]
tests/test_v1324_asi_5gap_real_llm.py::TestRunRealBenchmark::test_with_fake_returns_22_scores PASSED [ 52%]
tests/test_v1324_asi_5gap_real_llm.py::TestRunRealBenchmark::test_with_all_failure PASSED [ 53%]
tests/test_v1324_asi_5gap_real_llm.py::TestRunRealBenchmark::test_with_no_key PASSED [ 54%]
tests/test_v1324_asi_5gap_real_llm.py::TestRunRealBenchmark::test_with_probe_first PASSED [ 56%]
tests/test_v1324_asi_5gap_real_llm.py::TestRunRealBenchmark::test_empty_query_bypasses_chat PASSED [ 57%]
tests/test_v1324_asi_5gap_real_llm.py::TestRunRealBenchmark::test_total_tokens_summed PASSED [ 58%]
tests/test_v1324_asi_5gap_real_llm.py::TestRunRealBenchmark::test_to_dict_round_trip PASSED [ 60%]
tests/test_v1324_asi_5gap_real_llm.py::TestCompareHeuristicVsReal::test_perfect_agreement PASSED [ 61%]
tests/test_v1324_asi_5gap_real_llm.py::TestCompareHeuristicVsReal::test_perfect_disagreement PASSED [ 63%]
tests/test_v1324_asi_5gap_real_llm.py::TestCompareHeuristicVsReal::test_empty_heuristic_returns_zero_report PASSED [ 64%]
tests/test_v1324_asi_5gap_real_llm.py::TestCompareHeuristicVsReal::test_delta_means_per_gap PASSED [ 65%]
tests/test_v1324_asi_5gap_real_llm.py::TestBuildBridge::test_build_v1324_aggregate PASSED [ 67%]
tests/test_v1324_asi_5gap_real_llm.py::TestBuildBridge::test_build_bridge_with_real_run PASSED [ 68%]
tests/test_v1324_asi_5gap_real_llm.py::TestBuildBridge::test_build_bridge_without_real_run PASSED [ 69%]
tests/test_v1324_asi_5gap_real_llm.py::TestBuildBridge::test_build_bridge_real_run_with_fake_client PASSED [ 71%]
tests/test_v1324_asi_5gap_real_llm.py::TestRenderMarkdownReport::test_contains_version PASSED [ 72%]
tests/test_v1324_asi_5gap_real_llm.py::TestRenderMarkdownReport::test_contains_probe_section PASSED [ 73%]
tests/test_v1324_asi_5gap_real_llm.py::TestRenderMarkdownReport::test_contains_benchmark_section PASSED [ 75%]
tests/test_v1324_asi_5gap_real_llm.py::TestRenderMarkdownReport::test_contains_per_query_table PASSED [ 76%]
tests/test_v1324_asi_5gap_real_llm.py::TestRenderMarkdownReport::test_contains_comparison_section PASSED [ 78%]
tests/test_v1324_asi_5gap_real_llm.py::TestRenderMarkdownReport::test_contains_v3_guards PASSED [ 79%]
tests/test_v1324_asi_5gap_real_llm.py::TestRenderMarkdownReport::test_contains_pole_star_anchors PASSED [ 80%]
tests/test_v1324_asi_5gap_real_llm.py::TestRenderMarkdownReport::test_contains_v3_philosophy_statement PASSED [ 82%]
tests/test_v1324_asi_5gap_real_llm.py::TestLockedInvariants::test_asi_5_gaps_locked PASSED [ 83%]
tests/test_v1324_asi_5gap_real_llm.py::TestLockedInvariants::test_benchmark_queries_locked_at_22 PASSED [ 84%]
tests/test_v1324_asi_5gap_real_llm.py::TestLockedInvariants::test_pole_star_anchors_locked PASSED [ 86%]
tests/test_v1324_asi_5gap_real_llm.py::TestLockedInvariants::test_v3_guard_markers_preserved PASSED [ 87%]
tests/test_v1324_asi_5gap_real_llm.py::TestLockedInvariants::test_version_locked PASSED [ 89%]
tests/test_v1324_asi_5gap_real_llm.py::TestLockedInvariants::test_assert_benchmark_queries_locked_helper PASSED [ 90%]
tests/test_v1324_asi_5gap_real_llm.py::TestEnvClearedPath::test_default_config_when_no_env PASSED [ 91%]
tests/test_v1324_asi_5gap_real_llm.py::TestEnvClearedPath::test_real_llm_client_no_env_no_arg PASSED [ 93%]
tests/test_v1324_asi_5gap_real_llm.py::TestPromptTemplate::test_prompt_includes_5_gaps PASSED [ 94%]
tests/test_v1324_asi_5gap_real_llm.py::TestPromptTemplate::test_prompt_includes_format_instruction PASSED [ 95%]
tests/test_v1324_asi_5gap_real_llm.py::TestPromptTemplate::test_prompt_format_with_query PASSED [ 97%]
tests/test_v1324_asi_5gap_real_llm.py::TestGapScoringIntegration::test_5_gaps_scored_per_query PASSED [ 98%]
tests/test_v1324_asi_5gap_real_llm.py::TestMismatchedLengths::test_heuristic_shorter_than_real PASSED [100%]

============================= 73 passed in 0.38s ==============================
